id,obs_id,choice,chosen_alt,av_alt1,av_alt2,av_alt3,tt1,tt2,tt3,tc1,tc2,tc3,age,sex,edu,inchh,urb,sclass
28,230,1,alt1,1,1,1,23,27,31,6,4,3,1,1,2,1,5,5
29,231,1,alt1,1,1,1,23,27,35,6,4,3,2,2,4,4,4,1
29,232,3,alt3,1,1,1,27,35,23,5,4,6,2,2,4,4,4,1
29,233,2,alt2,1,1,1,35,23,31,3,5,4,2,2,4,4,4,1
29,234,2,alt2,1,1,1,27,23,35,4,5,3,2,2,4,4,4,1
29,235,2,alt2,1,1,1,35,27,31,3,6,5,2,2,4,4,4,1
29,236,1,alt1,1,1,1,23,27,35,6,5,3,2,2,4,4,4,1
29,237,3,alt3,1,1,1,35,31,23,3,5,6,2,2,4,4,4,1
29,238,2,alt2,1,1,1,27,23,31,5,6,3,2,2,4,4,4,1
29,239,3,alt3,1,1,1,35,31,27,3,4,6,2,2,4,4,4,1
29,240,1,alt1,1,1,1,23,27,31,6,4,3,2,2,4,4,4,1
32,241,3,alt3,1,1,1,23,27,35,6,4,3,2,1,5,2,3,2
32,242,2,alt2,1,1,1,27,35,23,5,4,6,2,1,5,2,3,2
32,243,1,alt1,1,1,1,35,23,31,3,5,4,2,1,5,2,3,2
32,244,3,alt3,1,1,1,27,23,35,4,5,3,2,1,5,2,3,2
32,245,1,alt1,1,1,1,35,27,31,3,6,5,2,1,5,2,3,2
32,246,3,alt3,1,1,1,23,27,35,6,5,3,2,1,5,2,3,2
32,247,1,alt1,1,1,1,35,31,23,3,5,6,2,1,5,2,3,2
32,248,3,alt3,1,1,1,27,23,31,5,6,3,2,1,5,2,3,2
32,249,1,alt1,1,1,1,35,31,27,3,4,6,2,1,5,2,3,2
32,250,3,alt3,1,1,1,23,27,31,6,4,3,2,1,5,2,3,2
33,251,2,alt2,1,1,1,23,27,35,6,4,3,2,2,6,3,4,2
33,252,1,alt1,1,1,1,27,35,23,5,4,6,2,2,6,3,4,2
33,253,2,alt2,1,1,1,35,23,31,3,5,4,2,2,6,3,4,2
33,254,1,alt1,1,1,1,27,23,35,4,5,3,2,2,6,3,4,2
33,255,1,alt1,1,1,1,35,27,31,3,6,5,2,2,6,3,4,2
33,256,2,alt2,1,1,1,23,27,35,6,5,3,2,2,6,3,4,2
33,257,2,alt2,1,1,1,35,31,23,3,5,6,2,2,6,3,4,2
33,258,1,alt1,1,1,1,27,23,31,5,6,3,2,2,6,3,4,2
33,259,2,alt2,1,1,1,35,31,27,3,4,6,2,2,6,3,4,2
